product,type,category,sub_category
Fresho,Organic Vegetables,Fruits & Vegetables,Fresh Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Fresh Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Fresh Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Fresh Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Fresh Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Fresh Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Fresh Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Fresh Vegetables
bb Royal,Powdered Spices,"Foodgrains, Oil & Masala",Masalas & Spices
bb Royal,Powdered Spices,"Foodgrains, Oil & Masala",Masalas & Spices
Fresho,Organic Vegetables,Fruits & Vegetables,Exotic Fruits & Veggies
Fresho,Organic Vegetables,Fruits & Vegetables,Exotic Fruits & Veggies
Fresho,Organic Vegetables,Fruits & Vegetables,Exotic Fruits & Veggies
Fresho,Organic Vegetables,Fruits & Vegetables,Exotic Fruits & Veggies
Fresho,Organic Vegetables,Fruits & Vegetables,Exotic Fruits & Veggies
Fresho,Organic Vegetables,Fruits & Vegetables,Exotic Fruits & Veggies
Fresho,Organic Vegetables,Fruits & Vegetables,Exotic Fruits & Veggies
Fresho,Organic Vegetables,Fruits & Vegetables,Exotic Fruits & Veggies
Lavazza,Cereals & Millets,"Foodgrains, Oil & Masala",Dals & Pulses
Lavazza,Cereals & Millets,"Foodgrains, Oil & Masala",Dals & Pulses
Lavazza,Cereals & Millets,"Foodgrains, Oil & Masala",Dals & Pulses
Lavazza,Cereals & Millets,"Foodgrains, Oil & Masala",Dals & Pulses
Nestle ,Chocolates,Snacks & Branded Foods,Biscuits & Cookies
Nestle ,Chocolates,Snacks & Branded Foods,Biscuits & Cookies
Nestle ,Chocolates,Snacks & Branded Foods,Biscuits & Cookies
B Natural,Juices,Beverages,Fruit Juices & Drinks
Fresho,Blended Masalas,"Foodgrains, Oil & Masala",Masalas & Spices
Fresho,Blended Masalas,"Foodgrains, Oil & Masala",Masalas & Spices
Ajinomoto,Cucumber & Capsicum,Fruits & Vegetables,Exotic Fruits & Veggies
Ajinomoto,Cucumber & Capsicum,Fruits & Vegetables,Exotic Fruits & Veggies
Ajinomoto,Cucumber & Capsicum,Fruits & Vegetables,Exotic Fruits & Veggies
Ajinomoto,Cucumber & Capsicum,Fruits & Vegetables,Exotic Fruits & Veggies
Ajinomoto,Cucumber & Capsicum,Fruits & Vegetables,Exotic Fruits & Veggies
Ajinomoto,Cucumber & Capsicum,Fruits & Vegetables,Exotic Fruits & Veggies
Orbit,Mints & Chewing Gum,Snacks & Branded Foods,Chocolates & Candies
Orbit,Mints & Chewing Gum,Snacks & Branded Foods,Chocolates & Candies
Orbit,Mints & Chewing Gum,Snacks & Branded Foods,Chocolates & Candies
Orbit,Mints & Chewing Gum,Snacks & Branded Foods,Chocolates & Candies
Colgate,Instant Noodles,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli"
Colgate,Instant Noodles,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli"
Milky Mist,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Milky Mist,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Milky Mist,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Milky Mist,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Britannia,Talcum Powder,Beauty & Hygiene,Bath & Hand Wash
Britannia,Talcum Powder,Beauty & Hygiene,Bath & Hand Wash
Britannia,Talcum Powder,Beauty & Hygiene,Bath & Hand Wash
Britannia,Talcum Powder,Beauty & Hygiene,Bath & Hand Wash
Britannia,Talcum Powder,Beauty & Hygiene,Bath & Hand Wash
Bauli,"Toffee, Candy & Lollypop",Snacks & Branded Foods,Chocolates & Candies
Bauli,"Toffee, Candy & Lollypop",Snacks & Branded Foods,Chocolates & Candies
B Vishal,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
B Vishal,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
B Vishal,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
B Vishal,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
B Vishal,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
B Vishal,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
B Vishal,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
B Vishal,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Haldirams ,Chips & Corn Snacks,Snacks & Branded Foods,Snacks & Namkeen
Haldirams ,Chips & Corn Snacks,Snacks & Branded Foods,Snacks & Namkeen
Townbus,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Townbus,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Townbus,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Townbus,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Townbus,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Townbus,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Townbus,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Townbus,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Townbus,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Cadbury,Chocolates,Snacks & Branded Foods,Chocolates & Candies
Cadbury,Chocolates,Snacks & Branded Foods,Chocolates & Candies
Cadbury,Chocolates,Snacks & Branded Foods,Chocolates & Candies
Cadbury,Chocolates,Snacks & Branded Foods,Chocolates & Candies
Fresho,"Notebooks, Files, Folders",Cleaning & Household,Stationery
Fresho,"Notebooks, Files, Folders",Cleaning & Household,Stationery
Fresho,"Notebooks, Files, Folders",Cleaning & Household,Stationery
Fresho,"Notebooks, Files, Folders",Cleaning & Household,Stationery
Weikfield,Blended Masalas,"Foodgrains, Oil & Masala",Masalas & Spices
Weikfield,Blended Masalas,"Foodgrains, Oil & Masala",Masalas & Spices
Weikfield,Blended Masalas,"Foodgrains, Oil & Masala",Masalas & Spices
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Fresho,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Keya,Blended Masalas,"Foodgrains, Oil & Masala",Masalas & Spices
Milky Mist,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Milky Mist,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Milky Mist,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Milky Mist,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Milton - Spotzero,Bathing Bars & Soaps,Beauty & Hygiene,Men's Grooming
Milton - Spotzero,Bathing Bars & Soaps,Beauty & Hygiene,Men's Grooming
Milton - Spotzero,Bathing Bars & Soaps,Beauty & Hygiene,Men's Grooming
Milton - Spotzero,Bathing Bars & Soaps,Beauty & Hygiene,Men's Grooming
Milton - Spotzero,Bathing Bars & Soaps,Beauty & Hygiene,Men's Grooming
Milton - Spotzero,Bathing Bars & Soaps,Beauty & Hygiene,Men's Grooming
Milton - Spotzero,Bathing Bars & Soaps,Beauty & Hygiene,Men's Grooming
Milton - Spotzero,Bathing Bars & Soaps,Beauty & Hygiene,Men's Grooming
Chings,Chilli & Soya Sauce,Snacks & Branded Foods,"Spreads, Sauces, Ketchup"
Chings,Chilli & Soya Sauce,Snacks & Branded Foods,"Spreads, Sauces, Ketchup"
Chings,Chilli & Soya Sauce,Snacks & Branded Foods,"Spreads, Sauces, Ketchup"
Chings,Chilli & Soya Sauce,Snacks & Branded Foods,"Spreads, Sauces, Ketchup"
Chings,Chilli & Soya Sauce,Snacks & Branded Foods,"Spreads, Sauces, Ketchup"
Chings,Chilli & Soya Sauce,Snacks & Branded Foods,"Spreads, Sauces, Ketchup"
Chings,Chilli & Soya Sauce,Snacks & Branded Foods,"Spreads, Sauces, Ketchup"
Gillette,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Gillette,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Gillette,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Kelloggs,Kids Cereal,Snacks & Branded Foods,Breakfast Cereals
Kelloggs,Kids Cereal,Snacks & Branded Foods,Breakfast Cereals
